ts	phase	decision	why	evidence	result
2026-09-01T11:53:03Z	frame	Treat Grok reliability as a protocol and runner migration, not a one-method patch	Plan approval, questions, cancellation reasons, account rotation, fallbacks, and reconnects share the same ACP boundary	production transcript os-01a05caa-1ddd-7741-8e38-b89d26f8fad2; packages/core/opensession-server/src/server/acp-runner.ts	open
2026-09-01T11:53:03Z	workflow	Sequence grounding, design arena, failing protocol tests, implementation units, blast-radius checks, checkout gate, deploy, and live verification	Each unit must end with executable evidence before the next starts	.agents/skills/pstack-suite/skills/figure-it-out/SKILL.md	in progress
2026-09-01T12:28:00Z	grounding	Reuse the actor-backed Ask lifecycle and add acknowledged host answer delivery	The UI answer is durable, but the current server-to-host delivery can be lost after commit and before socket write	asks.ts; host-client.ts; runner-host/host.ts; grounding reports	selected
2026-09-01T12:28:00Z	architecture	Use a server-owned logical coordinator and one disposable host per model/account attempt	A long-lived credential-lease host has cumulative exposure to every rotated account; per-attempt hosts preserve the existing one-account blast radius	/tmp/grok-arch-coordinator/design.md; /tmp/grok-arch-worker-lease/design.md; architecture judge	selected
2026-09-01T12:28:00Z	policy	Auto-approve exit_plan_mode only for explicitly unattended runs; cancel ordinary Grok questions without a human route	Plan continuation does not grant tools, while fabricating questionnaire answers would; existing tool and MCP policy remains fail-closed	Grok headless extension behavior; docs/security-model.md	selected
2026-09-01T12:28:00Z	scope	Support Grok as an explicit fallback destination without adding it to the implicit global fallback order	Protocol parity and operator spend policy are separate decisions	models.ts; architecture judge	selected
2026-09-01T13:02:01Z	wire	Negotiate Grok 1.0.13 grok.com auth while retaining cached_token rolling compatibility	The installed client no longer offers the old hard-coded method	live initialize response; acp-runner.test.ts	implemented
2026-09-01T13:02:01Z	verification	Require a real installed-client plan-mode turn before the repository gate	The deterministic peer proves our side of the wire but cannot prove Grok accepts the response	Grok 4.6 session 01a05d0c-5849-7143-8a13-088ae36d4f17 returned GROK_ACP_PLAN_OK	passed
2026-09-01T13:02:01Z	recovery	Persist logical fallback policy on every physical host and fence pool mutation by provider/model/account identity	A gateway restart must not turn the current account's usage receipt into the final logical result	host-coordinator.test.ts; host-client.ts	implemented
2026-09-01T13:29:58Z	gate	Isolate unit-test fixture Git repos from machine-wide hooks and raise the isolated test timeout to 30s	The required repository gate must not depend on Jack's global author/pre-commit policy, and ACP/restart fixtures legitimately exceed Bun's 5s default under one-file process isolation	scripts/test-unit-isolated.sh; acp-runner.test.ts; asks-restart.test.ts	implemented
2026-09-01T13:30:11Z	verification	Run focused Grok/recovery regression suites before the full gate	The change crosses ACP wire handling, host coordination, durable ask replay, and runner protocol	bun test acp-runner.test.ts asks-restart.test.ts grok-acp-extension.test.ts host-coordinator.test.ts protocol/runner.test.ts --timeout 30000: 63 pass	passed
2026-09-01T13:32:30Z	verification	Run the required repository gate after fixing the runner boundary	Commit is only allowed after the full project check passes	bun run check: format:check, typecheck, lint, 700 isolated unit files, strict transcript snapshots	passed
